Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
poundForceInch,Pound Force Inch,Torque,lbf-in,http://qudt.org/vocab/unit#PoundForceInch
formazinBackscatterUnit,Formazin Backscatter Unit,Turbidity,FBU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinNephelometricMultibeamUnit,Formazin Nephelometric Multibeam Unit,Turbidity,FNMU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinNephelometricRatioUnit,Formazin Nephelometric Ratio Unit,Turbidity,FNRU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinNephelometricUnit,Formazin Nephelometric Unit,Turbidity,FNU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
jacksonCandleUnit,Jackson Candle Unit,Turbidity,JCU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
jacksonTurbidityUnit,Jackson Turbidity Unit,Turbidity,JTU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nephelometricTurbidityMultibeamUnit,Nephelometric Turbidity Multibeam Unit,Turbidity,NTMU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nephelometricTurbidityRatioUnit,Nephelometric Turbidity Ratio Unit,Turbidity,NTRU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nephelometricTurbidityUnit,Nephelometric Turbidity Unit,Turbidity,NTU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
attenuationUnit,Attenuation Unit,Turbidity,AU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
backscatterUnit,Backscatter Unit,Turbidity,BU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
formazinAttenuationUnit,Formazin Attenuation Unit,Turbidity,FAU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cubicMeter,Cubic Meter,Volume,m^3,http://qudt.org/vocab/unit#CubicMeter
cubicMeterPerSecondDays,Cubic Meter per Second Days,Volume,cms d,
cubicMile,Cubic Mile,Volume,mi^3,http://qudt.org/vocab/unit#CubicMile
cubicMillimeter,Cubic Millimeter,Volume,mm^3,http://qudt.org/vocab/unit#CubicMillimeter
cubicYard,Cubic Yard,Volume,yd^3; cyd_i,http://qudt.org/vocab/unit#CubicYard
acreFoot,Acre Foot,Volume,ac-ft,http://qudt.org/vocab/unit#AcreFoot; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
barrel,Barrel,Volume,bbl_us,"http://qudt.org/vocab/unit#Barrel; http://unitsofmeasure.org/ucum.html#para-37; 
https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml"
boardFoot,Board Foot,Volume,bf_i,http://qudt.org/vocab/unit#BoardFoot; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
bushel,Bushel,Volume,bu_us,http://qudt.org/vocab/unit#Bushel; http://unitsofmeasure.org/ucum.html#para-37; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
cord,Cord,Volume,cr_i,http://qudt.org/vocab/unit#Cord; http://unitsofmeasure.org/ucum.html#para-37
cubicCentimeter,Cubic Centimeter,Volume,cm^3,http://qudt.org/vocab/unit#CubicCentimeter
cubicDecameter,Cubic Decameter,Volume,dam^3,
cubicFoot,Cubic Foot,Volume,cfs; cft_i,http://qudt.org/vocab/unit#CubicFoot
cubicFootPerSecondDays,Cubic Foot per Second Days,Volume,cfs-d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cubicHectoMeter,Cubic Hecto Meter,Volume,(hm)^3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicInch,Cubic Inch,Volume,in^3; cin_i,http://qudt.org/vocab/unit#CubicInch
"cup,British","Cup, British",Volume,,http://www.unidata.ucar.edu/software/udunits/
"cup,Metric","Cup, Metric",Volume,cup_m,http://unitsofmeasure.org/ucum.html#para-37
"cup,Us","Cup, US",Volume,cup_us,http://qudt.org/vocab/unit#LiquidCupUS; http://www.unidata.ucar.edu/software/udunits/
drop,Drop,Volume,drp,http://unitsofmeasure.org/ucum.html#para-44
"dryGallon,Us","Dry Gallon, US",Volume,dry_gal,http://qudt.org/vocab/unit#DryGallonUS; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"dryPint,Us","Dry Pint, US",Volume,dpt_us,http://qudt.org/vocab/unit#DryPintUS; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"dryQuart,Us","Dry Quart, US",Volume,dqt_us,http://qudt.org/vocab/unit#DryQuartUS; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
firkin,Firkin,Volume,,http://www.unidata.ucar.edu/software/udunits/
"fluidDram,British","Fluid Dram, British",Volume,fdr_br,http://unitsofmeasure.org/ucum.html#para-38
"fluidDram,Us","Fluid Dram, US",Volume,fdr_us,http://unitsofmeasure.org/ucum.html#para-37
"fluidOunce,British","Fluid Ounce, British",Volume,foz_br,http://qudt.org/vocab/unit#OunceImperial; http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"fluidOunce,Metric","Fluid Ounce, Metric",Volume,foz_m,http://unitsofmeasure.org/ucum.html#para-37
"fluidOunce,Us","Fluid Ounce, US",Volume,foz_us,http://qudt.org/vocab/unit#LiquidOunceUS; http://www.unidata.ucar.edu/software/udunits/; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
"gallon,British","Gallon, British",Volume,gal_br,http://qudt.org/vocab/unit#GallonImperial; http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"gallon,Us","Gallon, US",Volume,gal_us,http://qudt.org/vocab/unit#GallonUS; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://unitsofmeasure.org/ucum.html#para-37
"gill,British","Gill, British",Volume,gil_br,http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"gill,Us","Gill, US",Volume,gil_us,http://unitsofmeasure.org/ucum.html#para-37; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectareMeter,Hectare Meter,Volume,hec m,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
liter,Liter,Volume,L,http://qudt.org/vocab/unit#Liter; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-31; http://qwwebservices.usgs.gov/service-domains.html
megaliter,Megaliter,Volume,Ml,http://environment.data.gov.au/def/unit/Megalitre
milliliter,Milliliter,Volume,mL,http://environment.data.gov.au/def/unit/Millilitre
millionCubicFoot,Million Cubic Foot,Volume,10^6 ft^3Mft3,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millionGallon,Million Gallon,Volume,Mgal,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
"minim,British","Minim, British",Volume,min_br,http://unitsofmeasure.org/ucum.html#para-38
"minim,Us","Minim, US",Volume,min_us,http://unitsofmeasure.org/ucum.html#para-37
peck,Peck,Volume,pk_us,http://qudt.org/vocab/unit#Peck; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"peck,British","Peck, British",Volume,pk_br,http://unitsofmeasure.org/ucum.html#para-38
"pint,British","Pint, British",Volume,pt_br,http://qudt.org/vocab/unit#PintImperial; http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"pint,Us","Pint, US",Volume,pt_us,http://qudt.org/vocab/unit#LiquidPintUS; http://unitsofmeasure.org/ucum.html#para-37; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
planckVolume,Planck Volume,Volume,,http://qudt.org/vocab/unit#PlanckVolume
"quart,British","Quart, British",Volume,qt_br,http://unitsofmeasure.org/ucum.html#para-38; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
"quart,Us","Quart, US",Volume,qt_us,http://qudt.org/vocab/unit#LiquidQuartUS; http://unitsofmeasure.org/ucum.html#para-37; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
queen Anne'SWineGallon,Queen Anne's Wine Gallon,Volume,gal_us,http://unitsofmeasure.org/ucum.html#para-37
registerTon,Register Ton,Volume,RT,http://qudt.org/vocab/unit#RegisterTon; http://www.unidata.ucar.edu/software/udunits/
stere,Stere,Volume,st,http://qudt.org/vocab/unit#Stere; http://unitsofmeasure.org/ucum.html#para-47; http://www.unidata.ucar.edu/software/udunits/
tablespoon,Tablespoon,Volume,"tbsp; tbs, tbs_us",http://qudt.org/vocab/unit#Tablespoon; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"tablespoon,Metric","Tablespoon, Metric",Volume,tbs_m,http://unitsofmeasure.org/ucum.html#para-37
teaspoon,Teaspoon,Volume,tsp; tsp_us,http://qudt.org/vocab/unit#Teaspoon; http://unitsofmeasure.org/ucum.html#para-37; http://www.unidata.ucar.edu/software/udunits/
"teaspoon,Metric","Teaspoon, Metric",Volume,tsp_m,http://unitsofmeasure.org/ucum.html#para-37
thousandAcreFoot,Thousand Acre Foot,Volume,10^3 ac ft; Kac-ft,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
thousandGallon,Thousand Gallon,Volume,10^3 gal,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
historicalWinchterGallon,Historical Winchter Gallon,Volume,gal_wi,http://unitsofmeasure.org/ucum.html#para-37
cubicMeterPerKelvin,Cubic Meter per Kelvin,Volume thermal expansion,m^3/K,http://qudt.org/vocab/unit#CubicMeterPerKelvin
acreFootPerDay,Acre Foot per Day,Volumetric flow rate,ac ft/d,
acreFootPerHalfMonth,Acre Foot per Half Month,Volumetric flow rate,ac ft/0.5 mo,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
acreFootPerHour,Acre Foot per Hour,Volumetric flow rate,ac ft/hr,
megaliterPerDay,Megaliter per Day,Volumetric flow rate,Ml/d,http://environment.data.gov.au/def/unit/MegalitrePerDay
literPerMinute,Liter per Minute,Volumetric flow rate,L/min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerSecond,Liter per Second,Volumetric flow rate,L/s,http://environment.data.gov.au/def/unit/LitrePerSecond; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megaliterPerCalendarMonth,Megaliter per Calendar Month,Volumetric flow rate,Ml/mo_c,http://environment.data.gov.au/def/unit/MegalitrePerMonth
megaliterPerWeek,Megaliter per Week,Volumetric flow rate,Ml/wk,http://environment.data.gov.au/def/unit/MegalitrePerWeek
millionGallonUsPerDay,Million Gallon US per Day,Volumetric flow rate,MGD,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millionGallonUsPerMonth,Million Gallon US per Month,Volumetric flow rate,MGM,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millionGallonUsPerYear,Million Gallon US per Year,Volumetric flow rate,MGY,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
sverdrup,Sverdrup,Volumetric flow rate,,http://www.unidata.ucar.edu/software/udunits/
acreFootPerMonth,Acre Foot per Month,Volumetric flow rate,ac ft/mo,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
acreFootPerYear,Acre Foot per Year,Volumetric flow rate,ac ft/yr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
arizonaMiner'SInch,Arizona Miner's Inch,Volumetric flow rate,Az Miner Inch,https://en.wikipedia.org/wiki/Miner's_inch
cubicCentimeterPerSecond,Cubic Centimeter per Second,Volumetric flow rate,cm^3/sec,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicDecameterPerHour,Cubic Decameter per Hour,Volumetric flow rate,dam^3/h,
cubicDecameterPerMinute,Cubic Decameter per Minute,Volumetric flow rate,dam^3/min,
cubicDecameterPerSecond,Cubic Decameter per Second,Volumetric flow rate,dam^3/s,
cubicFootPerMinute,Cubic Foot per Minute,Volumetric flow rate,ft^3/min,http://qudt.org/vocab/unit#CubicFootPerMinute
cubicFootPerSecond,Cubic Foot per Second,Volumetric flow rate,ft^3/s,http://qudt.org/vocab/unit#CubicFootPerSecond; http://qwwebservices.usgs.gov/service-domains.html
cubicInchPerMinute,Cubic Inch per Minute,Volumetric flow rate,in^3/min,http://qudt.org/vocab/unit#CubicInchPerMinute
cubicInchPerSecond,Cubic Inch per Second,Volumetric flow rate,in^3/s,
cubicMeterPerDay,Cubic Meter per Day,Volumetric flow rate,m^3/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerHour,Cubic Meter per Hour,Volumetric flow rate,m^3/h,http://qudt.org/vocab/unit#CubicMeterPerHour
cubicMeterPerMinute,Cubic Meter per Minute,Volumetric flow rate,m^3/min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerSecond,Cubic Meter per Second,Volumetric flow rate,m^3/s,http://qudt.org/vocab/unit#CubicMeterPerSecond
cubicYardPerMinute,Cubic Yard per Minute,Volumetric flow rate,yd^3/min,http://qudt.org/vocab/unit#CubicYardPerMinute
dropsPerMinute,Drops per Minute,Volumetric flow rate,drops/min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonBritishPerSecond,Gallon British per Second,Volumetric flow rate,gps,
gallonUsPerDay,Gallon US per Day,Volumetric flow rate,gpd,http://qudt.org/vocab/unit#GallonUSPerDay; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerHour,Gallon US per Hour,Volumetric flow rate,gph,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerMinute,Gallon US per Minute,Volumetric flow rate,gpm,http://qudt.org/vocab/unit#GallonUSPerMinute; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
gallonUsPerMonth,Gallon US per Month,Volumetric flow rate,gpm,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerSecond,Gallon US per Second,Volumetric flow rate,gps,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonUsPerYear,Gallon US per Year,Volumetric flow rate,gpy,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerDay,Liter per Day,Volumetric flow rate,L/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
literPerHour,Liter per Hour,Volumetric flow rate,L/hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gallonPerDayPerSquareFoot,Gallon per Day per Square Foot,Volumetric flux,gpd/ft^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerSquareCentimeterPerDay,Milliliter per Square Centimeter per Day,Volumetric flux,ml/cm^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
joulePerCubicMeterKelvin,Joule per Cubic Meter Kelvin,Volumetric heat capacity,J/(m^3 K),http://qudt.org/vocab/unit#JoulePerCubicMeterKelvin
kilogramPerCubicMeterPerSecond,Kilogram per Cubic Meter per Second,Volumetric productivity,kg/m^3 s,
milligramPerCubicMeterPerHour,Milligram per Cubic Meter per Hour,Volumetric productivity,mg/m^3 hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerCubicMeterPerHour,Gram per Cubic Meter per Hour,Volumetric productivity,g/m^3 hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerCubicMeterPerDay,Milligram per Cubic Meter per Day,Volumetric productivity,mg/m^3 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
newtonPerSecond,Newton per Second,Yank,N/s,
